ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Random Forest,0.9527186761229315,0.9973832169241112,0.9562822599074053,0.9527186761229315,0.9533674845168653,0.9451868980354878
Decision Tree,0.9030732860520094,0.9643028573217161,0.9087636784981301,0.9030732860520094,0.9038382072641398,0.8874287395844218
Logistic Regression,0.8676122931442081,0.9854817874933811,0.8676452712770963,0.8676122931442081,0.8655694953594417,0.8460004843858481
K-Nearest Neighbors,0.8250591016548463,0.9541629966216273,0.8247684351629692,0.8250591016548463,0.8178767842079503,0.7977986320326652
Naive Bayes,0.5981087470449172,0.8953557616444029,0.6490650631938354,0.5981087470449172,0.5730631715967528,0.545940361624637
